,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,4.81,734.6,2.0
1,10.0,10.02,690.58,4.0
2,20.0,19.0,653.89,7.0
3,30.0,32.19,626.96,8.0
4,40.0,40.66,524.92,9.0
5,50.0,49.63,372.32,10.0
6,60.0,60.06,224.7,13.0
