,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,0.85,799.03,5.0
1,10.0,12.26,652.04,6.0
2,20.0,17.91,573.67,10.0
3,30.0,33.98,542.59,11.0
4,40.0,39.71,484.38,16.0
5,50.0,47.09,484.37,17.0
6,60.0,61.21,481.9,19.0
