,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,4.82,793.2,6.0
1,10.0,9.68,589.71,10.0
2,20.0,21.4,588.85,11.0
3,30.0,38.03,468.83,12.0
4,40.0,38.03,468.83,12.0
5,50.0,53.6,225.83,14.0
6,60.0,53.6,225.83,14.0
