,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,4.7,61773.0,7.0
1,10.0,10.35,36295.23,11.0
2,20.0,20.48,25577.26,20.0
3,30.0,30.46,14863.03,27.0
4,40.0,40.27,14861.13,46.0
5,50.0,50.42,14861.1,60.0
6,60.0,60.19,14861.1,79.0
