,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,3.26,58242.28,3.0
1,10.0,8.65,47693.51,4.0
2,20.0,21.35,34046.57,5.0
3,30.0,32.0,28913.73,6.0
4,40.0,37.38,12789.78,8.0
5,50.0,50.12,11840.61,11.0
6,60.0,58.82,11759.26,15.0
