,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,3.5,67118.98,6.0
1,10.0,3.5,67118.98,6.0
2,20.0,18.31,41150.39,8.0
3,30.0,28.25,16315.68,9.0
4,40.0,37.58,8967.72,10.0
5,50.0,54.76,7992.52,11.0
6,60.0,65.15,7977.72,12.0
