,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,3.67,631.96,6.0
1,10.0,7.62,614.3,7.0
2,20.0,18.44,571.96,8.0
3,30.0,28.12,314.55,10.0
4,40.0,40.94,228.01,12.0
5,50.0,52.24,163.4,14.0
6,60.0,62.8,50.0,16.0
