,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,4.74,35752.73,12.0
1,10.0,10.13,25684.75,23.0
2,20.0,19.88,14521.04,47.0
3,30.0,29.95,14520.4,71.0
4,40.0,32.23,14520.4,77.0
5,50.0,48.49,14520.4,78.0
6,60.0,60.32,14513.72,87.0
