,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,5.72,615.06,9.0
1,10.0,9.16,547.23,11.0
2,20.0,20.72,240.64,14.0
3,30.0,23.04,232.59,15.0
4,40.0,44.18,232.38,16.0
5,50.0,44.18,232.38,16.0
6,60.0,67.57,231.63,17.0
