,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,4.41,37873.12,9.0
1,10.0,4.41,37873.12,9.0
2,20.0,4.41,37873.12,9.0
3,30.0,4.41,37873.12,9.0
4,40.0,63.03,27026.75,10.0
5,50.0,63.03,27026.75,10.0
6,60.0,63.03,27026.75,10.0
