,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,0.29,141180.75,0.0
1,10.0,0.29,141180.75,0.0
2,20.0,24.53,34947.67,1.0
3,30.0,24.53,34947.67,1.0
4,40.0,24.53,34947.67,1.0
5,50.0,60.36,27701.32,2.0
6,60.0,60.36,27701.32,2.0
