,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,5.67,24387.67,7.0
1,10.0,10.87,5568.22,10.0
2,20.0,20.24,5216.08,12.0
3,30.0,29.54,5094.33,19.0
4,40.0,40.21,4922.69,29.0
5,50.0,49.68,4918.3,37.0
6,60.0,59.08,4916.44,45.0
