,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,3.93,80761.42,7.0
1,10.0,8.86,54037.21,10.0
2,20.0,27.25,35232.12,11.0
3,30.0,27.25,35232.12,11.0
4,40.0,27.25,35232.12,11.0
5,50.0,27.25,35232.12,11.0
6,60.0,74.37,33108.81,12.0
