           lng            lat            alt
 -12.651389536  -50.336336000         15.000
 -12.651371091  -50.336336000         14.900
 -12.651334200  -50.336318000         14.800
 -12.651315755  -50.336318000         14.700
 -12.651278865  -50.336318000         14.600
 -12.651260420  -50.336318000         14.500
 -12.651223529  -50.336300000         14.400
 -12.651186639  -50.336300000         14.300
 -12.651168194  -50.336300000         14.200
 -12.651131304  -50.336282000         14.100
 -12.651112858  -50.336282000         14.000
 -12.651075968  -50.336282000         13.900
 -12.651039078  -50.336264000         13.800
 -12.651020632  -50.336264000         13.700
 -12.650983742  -50.336264000         13.600
 -12.650965297  -50.336264000         13.500
 -12.650928407  -50.336246000         13.400
 -12.650891516  -50.336246000         13.300
 -12.650873071  -50.336246000         13.200
 -12.650836181  -50.336228000         13.100
 -12.650817735  -50.336228000         13.000
