           lng            lat            alt
 -12.622098593  -50.332124000         15.000
 -12.622172374  -50.332250000         14.900
 -12.622319935  -50.332502000         14.800
 -12.622467497  -50.332754000         14.700
 -12.622615058  -50.333024000         14.600
 -12.622781065  -50.333276000         14.500
 -12.622928626  -50.333528000         14.400
 -12.623076187  -50.333780000         14.300
 -12.623242194  -50.334032000         14.200
 -12.623389755  -50.334302000         14.100
 -12.623537317  -50.334554000         14.000
 -12.623684878  -50.334806000         13.900
 -12.623850885  -50.335058000         13.800
 -12.623998446  -50.335310000         13.700
 -12.624146008  -50.335562000         13.600
 -12.624293569  -50.335832000         13.500
 -12.624459576  -50.336084000         13.400
 -12.624607137  -50.336336000         13.300
 -12.624754699  -50.336588000         13.200
 -12.624902260  -50.336840000         13.100
 -12.624976041  -50.336984000         13.000
