           lng            lat            alt
 -12.624976041  -50.336984000         15.000
 -12.625658512  -50.336948000         14.900
 -12.627023456  -50.336912000         14.800
 -12.628388399  -50.336876000         14.700
 -12.629753342  -50.336840000         14.600
 -12.631099840  -50.336804000         14.500
 -12.632464783  -50.336768000         14.400
 -12.633829726  -50.336714000         14.300
 -12.635176224  -50.336678000         14.200
 -12.636541168  -50.336642000         14.100
 -12.637906111  -50.336606000         14.000
 -12.639271054  -50.336570000         13.900
 -12.640617552  -50.336534000         13.800
 -12.641982495  -50.336480000         13.700
 -12.643347438  -50.336444000         13.600
 -12.644712381  -50.336408000         13.500
 -12.646058880  -50.336372000         13.400
 -12.647423823  -50.336336000         13.300
 -12.648788766  -50.336282000         13.200
 -12.650135264  -50.336246000         13.100
 -12.650817735  -50.336228000         13.000
