           lng            lat            alt
 -12.623279084  -50.335346000         15.000
 -12.623408201  -50.335832000         14.900
 -12.623666433  -50.336786000         14.800
 -12.623924666  -50.337740000         14.700
 -12.624164453  -50.338712000         14.600
 -12.624422685  -50.339666000         14.500
 -12.624680918  -50.340638000         14.400
 -12.624939150  -50.341592000         14.300
 -12.625178938  -50.342546000         14.200
 -12.625437170  -50.343518000         14.100
 -12.625695403  -50.344472000         14.000
 -12.625953635  -50.345426000         13.900
 -12.626193423  -50.346398000         13.800
 -12.626451655  -50.347352000         13.700
 -12.626709888  -50.348306000         13.600
 -12.626968120  -50.349278000         13.500
 -12.627207907  -50.350232000         13.400
 -12.627466140  -50.351204000         13.300
 -12.627724372  -50.352158000         13.200
 -12.627982605  -50.353112000         13.100
 -12.628093276  -50.353598000         13.000
