           lng            lat            alt
 -12.628831083  -50.358062000         15.000
 -12.629421329  -50.357486000         14.900
 -12.630620265  -50.356334000         14.800
 -12.631800757  -50.355200000         14.700
 -12.632981248  -50.354048000         14.600
 -12.634180185  -50.352914000         14.500
 -12.635360676  -50.351762000         14.400
 -12.636541168  -50.350628000         14.300
 -12.637740104  -50.349476000         14.200
 -12.638920596  -50.348342000         14.100
 -12.640101087  -50.347190000         14.000
 -12.641300024  -50.346056000         13.900
 -12.642480515  -50.344904000         13.800
 -12.643661006  -50.343770000         13.700
 -12.644859943  -50.342618000         13.600
 -12.646040434  -50.341484000         13.500
 -12.647239371  -50.340332000         13.400
 -12.648419862  -50.339198000         13.300
 -12.649600354  -50.338046000         13.200
 -12.650799290  -50.336912000         13.100
 -12.651389536  -50.336336000         13.000
