           lng            lat            alt
 -12.650817735  -50.336228000         15.000
 -12.650245935  -50.336804000         14.900
 -12.649083889  -50.337956000         14.800
 -12.647921843  -50.339108000         14.700
 -12.646778241  -50.340260000         14.600
 -12.645616195  -50.341394000         14.500
 -12.644454149  -50.342546000         14.400
 -12.643292103  -50.343698000         14.300
 -12.642148502  -50.344850000         14.200
 -12.640986455  -50.346002000         14.100
 -12.639824409  -50.347136000         14.000
 -12.638680808  -50.348288000         13.900
 -12.637518762  -50.349440000         13.800
 -12.636356716  -50.350592000         13.700
 -12.635194670  -50.351744000         13.600
 -12.634051068  -50.352878000         13.500
 -12.632889022  -50.354030000         13.400
 -12.631726976  -50.355182000         13.300
 -12.630564930  -50.356334000         13.200
 -12.629421329  -50.357486000         13.100
 -12.628831083  -50.358062000         13.000
