           lng            lat            alt
 -12.622098593  -50.332124000         15.000
 -12.622319935  -50.332358000         14.900
 -12.622781065  -50.332826000         14.800
 -12.623260639  -50.333294000         14.700
 -12.623721769  -50.333762000         14.600
 -12.624182898  -50.334230000         14.500
 -12.624644028  -50.334698000         14.400
 -12.625105157  -50.335166000         14.300
 -12.625566286  -50.335634000         14.200
 -12.626045861  -50.336102000         14.100
 -12.626506991  -50.336570000         14.000
 -12.626968120  -50.337056000         13.900
 -12.627429249  -50.337524000         13.800
 -12.627890379  -50.337992000         13.700
 -12.628351508  -50.338460000         13.600
 -12.628831083  -50.338928000         13.500
 -12.629292212  -50.339396000         13.400
 -12.629753342  -50.339864000         13.300
 -12.630214471  -50.340332000         13.200
 -12.630675601  -50.340800000         13.100
 -12.630915388  -50.341034000         13.000
