           lng            lat            alt
 -12.623020852  -50.333060000         15.000
 -12.623740214  -50.333150000         14.900
 -12.625215828  -50.333312000         14.800
 -12.626672997  -50.333474000         14.700
 -12.628130166  -50.333636000         14.600
 -12.629605781  -50.333816000         14.500
 -12.631062950  -50.333978000         14.400
 -12.632520119  -50.334140000         14.300
 -12.633995733  -50.334320000         14.200
 -12.635452902  -50.334482000         14.100
 -12.636910071  -50.334644000         14.000
 -12.638385685  -50.334806000         13.900
 -12.639842854  -50.334986000         13.800
 -12.641318469  -50.335148000         13.700
 -12.642775638  -50.335310000         13.600
 -12.644232807  -50.335472000         13.500
 -12.645708421  -50.335652000         13.400
 -12.647165590  -50.335814000         13.300
 -12.648622759  -50.335976000         13.200
 -12.650098374  -50.336156000         13.100
 -12.650817735  -50.336228000         13.000
