           lng            lat            alt
 -12.632354112  -50.352950000         15.000
 -12.632944358  -50.353022000         14.900
 -12.634124849  -50.353166000         14.800
 -12.635286895  -50.353310000         14.700
 -12.636448942  -50.353454000         14.600
 -12.637629433  -50.353598000         14.500
 -12.638791479  -50.353742000         14.400
 -12.639953526  -50.353886000         14.300
 -12.641134017  -50.354030000         14.200
 -12.642296063  -50.354174000         14.100
 -12.643458109  -50.354318000         14.000
 -12.644638601  -50.354462000         13.900
 -12.645800647  -50.354606000         13.800
 -12.646981138  -50.354750000         13.700
 -12.648143185  -50.354894000         13.600
 -12.649305231  -50.355038000         13.500
 -12.650485722  -50.355182000         13.400
 -12.651647769  -50.355326000         13.300
 -12.652809815  -50.355470000         13.200
 -12.653990306  -50.355614000         13.100
 -12.654562107  -50.355686000         13.000
