           lng            lat            alt
 -12.621545238  -50.325302000         15.000
 -12.621619018  -50.325428000         14.900
 -12.621803470  -50.325680000         14.800
 -12.621969477  -50.325932000         14.700
 -12.622153929  -50.326184000         14.600
 -12.622319935  -50.326436000         14.500
 -12.622485942  -50.326688000         14.400
 -12.622670394  -50.326940000         14.300
 -12.622836400  -50.327192000         14.200
 -12.623002407  -50.327426000         14.100
 -12.623186858  -50.327678000         14.000
 -12.623352865  -50.327930000         13.900
 -12.623518872  -50.328182000         13.800
 -12.623703323  -50.328434000         13.700
 -12.623869330  -50.328686000         13.600
 -12.624035337  -50.328938000         13.500
 -12.624219788  -50.329190000         13.400
 -12.624385795  -50.329442000         13.300
 -12.624551802  -50.329694000         13.200
 -12.624736253  -50.329946000         13.100
 -12.624810034  -50.330072000         13.000
