           lng            lat            alt
 -12.651389536  -50.336336000         15.000
 -12.650633284  -50.336246000         14.900
 -12.649139224  -50.336084000         14.800
 -12.647645165  -50.335904000         14.700
 -12.646151105  -50.335724000         14.600
 -12.644657046  -50.335562000         14.500
 -12.643162987  -50.335382000         14.400
 -12.641687372  -50.335220000         14.300
 -12.640193313  -50.335040000         14.200
 -12.638699253  -50.334878000         14.100
 -12.637205194  -50.334698000         14.000
 -12.635711135  -50.334518000         13.900
 -12.634217075  -50.334356000         13.800
 -12.632723016  -50.334176000         13.700
 -12.631228956  -50.334014000         13.600
 -12.629734897  -50.333834000         13.500
 -12.628240837  -50.333654000         13.400
 -12.626746778  -50.333492000         13.300
 -12.625252718  -50.333312000         13.200
 -12.623758659  -50.333150000         13.100
 -12.623020852  -50.333060000         13.000
