           lng            lat            alt
 -12.628941754  -50.364146000         15.000
 -12.628738857  -50.363120000         14.900
 -12.628351508  -50.361086000         14.800
 -12.627964160  -50.359034000         14.700
 -12.627576811  -50.357000000         14.600
 -12.627189462  -50.354948000         14.500
 -12.626802113  -50.352896000         14.400
 -12.626396320  -50.350862000         14.300
 -12.626008971  -50.348810000         14.200
 -12.625621622  -50.346758000         14.100
 -12.625234273  -50.344724000         14.000
 -12.624846925  -50.342672000         13.900
 -12.624459576  -50.340620000         13.800
 -12.624072227  -50.338586000         13.700
 -12.623684878  -50.336534000         13.600
 -12.623297530  -50.334482000         13.500
 -12.622910181  -50.332430000         13.400
 -12.622522832  -50.330396000         13.300
 -12.622117038  -50.328344000         13.200
 -12.621729689  -50.326310000         13.100
 -12.621545238  -50.325302000         13.000
