           lng            lat            alt
 -12.635416012  -50.340926000         15.000
 -12.635047108  -50.340512000         14.900
 -12.634327746  -50.339702000         14.800
 -12.633589939  -50.338874000         14.700
 -12.632870577  -50.338046000         14.600
 -12.632132770  -50.337236000         14.500
 -12.631394963  -50.336408000         14.400
 -12.630675601  -50.335580000         14.300
 -12.629937794  -50.334752000         14.200
 -12.629218432  -50.333942000         14.100
 -12.628480625  -50.333114000         14.000
 -12.627742818  -50.332286000         13.900
 -12.627023456  -50.331476000         13.800
 -12.626285648  -50.330648000         13.700
 -12.625566286  -50.329820000         13.600
 -12.624828479  -50.328992000         13.500
 -12.624090672  -50.328182000         13.400
 -12.623371310  -50.327354000         13.300
 -12.622633503  -50.326526000         13.200
 -12.621914141  -50.325716000         13.100
 -12.621545238  -50.325302000         13.000
