           lng            lat            alt
 -12.624976041  -50.336984000         15.000
 -12.625178938  -50.337398000         14.900
 -12.625566286  -50.338244000         14.800
 -12.625953635  -50.339072000         14.700
 -12.626340984  -50.339918000         14.600
 -12.626728333  -50.340764000         14.500
 -12.627115681  -50.341592000         14.400
 -12.627503030  -50.342438000         14.300
 -12.627890379  -50.343284000         14.200
 -12.628277728  -50.344130000         14.100
 -12.628665076  -50.344958000         14.000
 -12.629070870  -50.345804000         13.900
 -12.629458219  -50.346650000         13.800
 -12.629845568  -50.347496000         13.700
 -12.630232917  -50.348324000         13.600
 -12.630620265  -50.349170000         13.500
 -12.631007614  -50.350016000         13.400
 -12.631394963  -50.350844000         13.300
 -12.631782312  -50.351690000         13.200
 -12.632169660  -50.352536000         13.100
 -12.632354112  -50.352950000         13.000
