           lng            lat            alt
 -12.623020852  -50.333060000         15.000
 -12.622983962  -50.332862000         14.900
 -12.622891736  -50.332448000         14.800
 -12.622817955  -50.332034000         14.700
 -12.622744174  -50.331620000         14.600
 -12.622670394  -50.331224000         14.500
 -12.622596613  -50.330810000         14.400
 -12.622504387  -50.330396000         14.300
 -12.622430606  -50.330000000         14.200
 -12.622356825  -50.329586000         14.100
 -12.622283045  -50.329172000         14.000
 -12.622209264  -50.328776000         13.900
 -12.622117038  -50.328362000         13.800
 -12.622043257  -50.327948000         13.700
 -12.621969477  -50.327552000         13.600
 -12.621895696  -50.327138000         13.500
 -12.621803470  -50.326724000         13.400
 -12.621729689  -50.326310000         13.300
 -12.621655909  -50.325914000         13.200
 -12.621582128  -50.325500000         13.100
 -12.621545238  -50.325302000         13.000
