           lng            lat            alt
 -12.628941754  -50.364146000         15.000
 -12.629605781  -50.363912000         14.900
 -12.630952279  -50.363462000         14.800
 -12.632298777  -50.363030000         14.700
 -12.633663720  -50.362580000         14.600
 -12.635010218  -50.362130000         14.500
 -12.636356716  -50.361698000         14.400
 -12.637703214  -50.361248000         14.300
 -12.639049712  -50.360798000         14.200
 -12.640396210  -50.360366000         14.100
 -12.641742708  -50.359916000         14.000
 -12.643107651  -50.359466000         13.900
 -12.644454149  -50.359034000         13.800
 -12.645800647  -50.358584000         13.700
 -12.647147145  -50.358134000         13.600
 -12.648493643  -50.357684000         13.500
 -12.649840141  -50.357252000         13.400
 -12.651205084  -50.356802000         13.300
 -12.652551582  -50.356352000         13.200
 -12.653898080  -50.355920000         13.100
 -12.654562107  -50.355686000         13.000
