           lng            lat            alt
 -12.635416012  -50.340926000         15.000
 -12.635305341  -50.340926000         14.900
 -12.635065553  -50.340944000         14.800
 -12.634825766  -50.340944000         14.700
 -12.634585979  -50.340944000         14.600
 -12.634346191  -50.340962000         14.500
 -12.634106404  -50.340962000         14.400
 -12.633885062  -50.340962000         14.300
 -12.633645275  -50.340980000         14.200
 -12.633405487  -50.340980000         14.100
 -12.633165700  -50.340980000         14.000
 -12.632925913  -50.340980000         13.900
 -12.632686125  -50.340998000         13.800
 -12.632446338  -50.340998000         13.700
 -12.632224996  -50.340998000         13.600
 -12.631985209  -50.341016000         13.500
 -12.631745421  -50.341016000         13.400
 -12.631505634  -50.341016000         13.300
 -12.631265847  -50.341034000         13.200
 -12.631026059  -50.341034000         13.100
 -12.630915388  -50.341034000         13.000
