           lng            lat            alt
 -12.650817735  -50.336228000         15.000
 -12.650301271  -50.336354000         14.900
 -12.649249895  -50.336606000         14.800
 -12.648198520  -50.336858000         14.700
 -12.647147145  -50.337110000         14.600
 -12.646114215  -50.337362000         14.500
 -12.645062840  -50.337614000         14.400
 -12.644011465  -50.337866000         14.300
 -12.642960090  -50.338136000         14.200
 -12.641908714  -50.338388000         14.100
 -12.640875784  -50.338640000         14.000
 -12.639824409  -50.338892000         13.900
 -12.638773034  -50.339144000         13.800
 -12.637721659  -50.339396000         13.700
 -12.636670284  -50.339648000         13.600
 -12.635637354  -50.339900000         13.500
 -12.634585979  -50.340152000         13.400
 -12.633534603  -50.340404000         13.300
 -12.632483228  -50.340656000         13.200
 -12.631431853  -50.340908000         13.100
 -12.630915388  -50.341034000         13.000
