           lng            lat            alt
 -12.621545238  -50.325302000         15.000
 -12.621637464  -50.325608000         14.900
 -12.621821915  -50.326220000         14.800
 -12.621987922  -50.326832000         14.700
 -12.622172374  -50.327444000         14.600
 -12.622356825  -50.328056000         14.500
 -12.622541277  -50.328686000         14.400
 -12.622725729  -50.329298000         14.300
 -12.622891736  -50.329910000         14.200
 -12.623076187  -50.330522000         14.100
 -12.623260639  -50.331134000         14.000
 -12.623445091  -50.331746000         13.900
 -12.623629543  -50.332358000         13.800
 -12.623813995  -50.332988000         13.700
 -12.623980001  -50.333600000         13.600
 -12.624164453  -50.334212000         13.500
 -12.624348905  -50.334824000         13.400
 -12.624533357  -50.335436000         13.300
 -12.624717808  -50.336048000         13.200
 -12.624902260  -50.336660000         13.100
 -12.624976041  -50.336984000         13.000
