           lng            lat            alt
 -12.651389536  -50.336336000         15.000
 -12.650614839  -50.336228000         14.900
 -12.649065444  -50.335994000         14.800
 -12.647534494  -50.335778000         14.700
 -12.645985099  -50.335562000         14.600
 -12.644454149  -50.335346000         14.500
 -12.642904754  -50.335112000         14.400
 -12.641355359  -50.334896000         14.300
 -12.639824409  -50.334680000         14.200
 -12.638275014  -50.334446000         14.100
 -12.636744064  -50.334230000         14.000
 -12.635194670  -50.334014000         13.900
 -12.633645275  -50.333780000         13.800
 -12.632114325  -50.333564000         13.700
 -12.630564930  -50.333348000         13.600
 -12.629033980  -50.333114000         13.500
 -12.627484585  -50.332898000         13.400
 -12.625953635  -50.332682000         13.300
 -12.624404240  -50.332448000         13.200
 -12.622854845  -50.332232000         13.100
 -12.622098593  -50.332124000         13.000
