,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,1.85,40498.53,8.0
1,10.0,1.85,40498.53,8.0
2,20.0,19.68,39548.71,9.0
3,30.0,33.33,33640.85,11.0
4,40.0,39.92,31896.94,15.0
5,50.0,45.87,6329.2,19.0
6,60.0,45.87,6329.2,19.0
