,Margin Birth Time,Real Birth Time,Fitness,"Fitness Trace [d, obs, con, cur, t]",Individual #
0,5.0,3.444269895553589,682.3200618832395,"[433.56847462699795, 200, 0.0, 48.75158725624155, 0]",8
1,10.0,3.444269895553589,682.3200618832395,"[433.56847462699795, 200, 0.0, 48.75158725624155, 0]",8
2,20.0,25.640703678131104,630.118588105642,"[391.20563847841345, 200, 0.0, 38.91294962722854, 0]",9
3,30.0,30.728586673736572,611.2871576265278,"[169.07777312316517, 400, 0.0, 42.209384503362664, 0]",10
4,40.0,39.92123365402222,511.7163402751138,"[276.99373397370977, 200, 0.0, 34.72260630140403, 0]",13
5,50.0,42.02302169799805,314.3227857214633,"[275.85590948303104, 0, 0.0, 38.466876238432235, 0]",14
6,60.0,66.97160696983337,308.46130352284905,"[268.2961914454552, 0, 0.0, 40.16511207739388, 0]",15
