,fitness,fitness_trace,birth_time,route
0,2250.794668595789,"[2167.1543282964267, 0, 0.0, 83.64034029936256, 0]",0.0006494522094726562,"[[0, 0], [0.3887625286854093, 0.0], [1.4342341457770789, 0.6607934052982706], [2.3913311964344337, -0.11364913873616317], [2.435921818102819, -0.4320733412627034], [2.5298158902617467, -0.44172260114113926], [3.2511749968181047, -0.5322945879913227], [2.960841545225265, 0.37020069702644787], [3.3895865946638755, 1.0210372796835974], [2.5257805408031127, 1.642526132202949], [1.5264293125630686, 2.983605150209886], [3.213416276116813, 2.1633555178531982], [3.2237532795714015, 0.9357706357493203], [2.435245350505132, 0.5011535310850201], [1.3774200890390467, 0.9197499729567459], [2.0375931834885193, 1.7181969418427456], [2.0827463401132515, 0.9301135941785351], [1.629776571488836, 1.1443500459634448], [1.6911001618266737, 0.7029961837337032]]"
1,3989.4336195295173,"[3952.5308395262464, 0, 0.0, 36.9027800032707, 0]",0.000690460205078125,"[[0, 0], [0.3616530530090961, 0.0], [0.4600963362532692, 0.361090808071949], [0.8079753250709907, 0.6119256763808384], [0.8239703160858236, 1.9355330895428926], [0.9698333412129397, 3.8874616771136736], [-1.141241091040973, 4.949074384646193], [-2.1963869749019636, 7.4193409095570475], [-0.8459259644014097, 9.93442370561363], [-0.06371630258576856, 12.468232277434728], [0.03937519601751091, 9.696562930370666], [3.6873483365539697, 9.415611326457478]]"
2,2565.3474176235727,"[2488.998254727333, 0, 0.0, 76.34916289623958, 0]",0.0007393360137939453,"[[0, 0], [0.2388620586009963, 0.0], [0.47451498721471647, -0.5906698438663246], [0.7330776108122125, -1.2192677760759256], [0.7213714747032456, -0.3099420760387286], [-0.37806500113233976, -0.0824767311547673], [-0.47463076214894145, -0.7401087214644702], [-0.40334322964669544, -0.5957422012551791], [-0.22204661698547082, -0.6472471810912571], [-0.09612205202957677, -1.3714440843529903], [-1.0864645139060867, -0.7274479459699038], [-2.249793610985252, -1.2595574963278837], [-2.6323492394626613, -2.735767566406161], [-2.583736327033112, -4.316829826468134], [-4.276300473552309, -3.821782398520675], [-6.190425639883441, -3.3370504055452614], [-7.502046663826614, -2.7293323227770308], [-8.333414627840593, -3.7544464128134356], [-10.176577532596031, -2.8365456988995574]]"
3,2272.185914558513,"[2012.8545778282773, 200, 0.0, 59.33133673023582, 0]",0.0007712841033935547,"[[0, 0], [0.037749287277752286, 0.0], [0.55999454137848, 0.19640954842434455], [0.4906681685488094, -0.7038404476665813], [0.6417879735938579, -1.2537217750717002], [0.6185884460177918, -1.53521820250955], [0.49577234211375, -1.5958634732366863], [0.5014704993153107, -1.4429004004660924], [0.9018384390524989, -1.840884090674168], [-0.10974397967791391, -1.7665975466140953], [-0.6849687246441865, -1.2980504503048598], [-0.842926346739902, -2.2002688201804115], [-1.2132648589837665, -0.5823769719083903], [-2.7653016753731006, -0.3230844050759112]]"
4,1733.1023285068572,"[1677.0290825501909, 0, 0.0, 56.07324595666633, 0]",0.000820159912109375,"[[0, 0], [-0.4616270667408878, 0.0], [0.22581177460569068, 1.051134728457742], [-0.09273055649387858, 2.328191555364539], [-0.7173836195051059, 1.7181913300372331], [-0.9963195925211278, 1.5839688856343621], [-0.998558991198815, 1.6481833468087737], [-1.0716416874307055, 1.2625229966483353], [-0.749411443508114, 0.03703723221067362], [0.9362269295032528, 1.399042181489642], [3.3082253948022684, 2.8408637768359624], [5.349649879652166, 1.4716627626215917], [3.6933031411518313, 0.7854822994838303], [3.721793672853593, -1.0847283547282676], [2.820062673604504, -2.6608535872531656], [2.0799774770390016, -1.8769243947880898]]"
5,2302.2125166957203,"[2259.5946781205785, 0, 0.0, 42.61783857514169, 0]",0.0008530616760253906,"[[0, 0], [0.4919964188711634, 0.0], [-0.24786415593987157, 0.26218804978917026], [0.05414734950574657, -0.09570306632014292], [0.41807783862609993, 0.04163704403859577], [0.856294798411685, -0.22454494352885856], [0.9872054218157023, -0.29155576486709583], [0.9956092631090956, -0.04163054900033386], [1.1543119314991193, 0.19678329874629485], [1.3597602751515805, 0.47394506028048555], [1.4622506647846276, 0.7997987901686842], [1.6740507480041227, 1.2705837062474281], [1.2296966117794357, 1.2308525490164446]]"
6,1537.0913656076068,"[1477.274353062846, 0, 0.0, 59.81701254476059, 0]",0.0008804798126220703,"[[0, 0], [-0.07064442985011143, 0.0], [0.057815532960879906, 0.38819317841151796], [0.7709964003137443, 1.1023153837008546], [2.0342750179745517, 0.8841899774072812], [1.1626459459167386, 0.7911292842540403], [1.8825609689339808, 1.4309241442850258], [2.5385151871054292, 0.26192843822437417], [1.0892615413672786, 0.9298400369294989], [0.22653580564137968, -1.1730192229400187], [1.8128528495234126, -2.8395494274866966]]"
7,2095.050988611443,"[1407.4571393986284, 600, 0.0, 87.59384921281418, 0]",0.0009317398071289062,"[[0, 0], [0.4106147725342508, 0.0], [1.5698549363675898, 0.33289359078360853], [0.22071129533499856, -1.1321248584337555], [-2.04086097658834, -1.7256707711638035], [-3.9923325025639134, -0.673291750245377], [-2.330067654579634, 0.14903098686146077], [-0.8778210151076158, 1.1035120227420727], [-2.4370897720006583, 0.9450932531958925], [-1.9194109270557291, 0.04810914131395211], [-0.8111609105400158, -0.5329755398500121], [-0.20162650470229818, -1.628142615719429], [0.36759825776191446, -1.4885619458159114], [0.7783663449896753, -1.3756177674984431], [1.1210118802775717, -2.257185501118772], [2.1317013247384207, -2.5420211536983497], [1.6833437006531766, -3.232299028074683], [1.985417825427748, -3.523515535507904], [1.700143220755125, -3.747350507194568], [1.9429790284902695, -3.3848180731691926], [1.7452002659069223, -3.1825469555718495]]"
8,1839.435649631161,"[1801.3176932230099, 0, 0.0, 38.11795640815101, 0]",0.0009562969207763672,"[[0, 0], [-0.46586948670342787, 0.0], [0.34380107617276096, -0.7193802608939786], [1.130745224772867, -0.9178793894164841], [1.7115749242390683, -1.056361114401764], [2.191884100175096, -0.8635612411843904], [2.61800386631459, -1.2322394566956592], [1.6975739447172447, -0.8470720922415365], [2.2348878188977865, -1.27509815327995]]"
9,2821.0062318665105,"[2774.640938079833, 0, 0.0, 46.36529378667734, 0]",0.0009799003601074219,"[[0, 0], [0.0019999875296720093, 0.0], [-0.09931589607035404, 0.23298757944863746], [-0.5404281709013613, 0.7207203314313398], [-0.10560602363218874, 1.6014257551775481], [0.6108008080994839, 2.164829629589558], [1.0023447661440752, 1.7815557000561106], [0.5516121637248862, 2.54960967489029], [-0.9872785196936262, 1.586419068202928], [-1.2123791769864658, 3.8201282596408275]]"
