id,generation,parents,fitness,fitness_trace,birth_time,route
0,0,[],138581.56048009754,"[0, 0, 0.10630974547842374, 0.3413245649011616, 1, 0.16302587638042598, -13.856692111111737]",0.0014684200286865234,"[[0, 0], [-0.16302587638042598, 0.0]]"
1,0,[],388033.7616657555,"[0, 15, 25.786945599507582, 10.48445759758139, 18, 89.25441174559323, -23.7401793222039]",0.0015790462493896484,"[[0, 0], [0.6919424058656081, 0.0], [0.39218876225911076, 1.3557236294633077], [-0.7857465420706323, 2.1094990894689913], [0.3039560463334356, 0.1911922121258065], [-0.14998814638141, -3.621801495096469], [-3.1246426184328864, 0.9243898204974919], [-8.316585319445094, 1.9416936085412575], [-11.084036579322603, -1.84550089965146], [-6.840522938578568, -2.7209517918523805], [-7.88587702582589, 1.127309884771982], [-5.316643039008118, -2.891499092030377], [-4.55337529755334, 2.789598342775005], [0.6177987070910219, 7.4383096924212335], [-0.6922359384624133, -0.16357726168635178], [-1.1198269866426105, -7.509191236624366], [5.234630027005606, -3.24342552372936], [-0.4954408773695078, -8.502335791413351], [4.253532048715307, -14.985097068031331]]"
2,0,[],141692.16948733813,"[0, 0, 7.466693154022224, 2.7830703288823306, 6, 3.7332843478544127, -14.152593856816125]",0.0016109943389892578,"[[0, 0], [-0.3758268297345997, 0.0], [0.28760262843074647, 0.24386975033989863], [1.246115368330785, 0.8265614355296472], [0.4252182559386781, 1.1007944924457191], [0.5512726172890672, 1.1683889978445214], [0.7706941336953217, 0.6965413941996301]]"
3,0,[],134697.53873584513,"[0, 0, 3.955158167268223, 3.32629896179193, 7, 2.21212658846109, -13.455251203796605]",0.0016484260559082031,"[[0, 0], [0.4816318466497169, 0.0], [0.05786499068953438, -0.5748860842109244], [-0.09372851359311651, -0.6861107817886459], [-0.03735057501492006, -0.6075032768429448], [0.23528241058664073, -0.480060117311058], [0.16260908370759308, -0.5400091172349489], [0.0807479912911403, -0.21373332927697708]]"
4,0,[],520491.0683414935,"[0, 40, 39.30791687458488, 13.673026581699776, 24, 22.197366770490692, -11.969906154016016]",0.001756906509399414,"[[0, 0], [0.81420638776403, 0.0], [0.6549897221453553, -0.8741953069362071], [0.19881282187341132, -0.26359232547197836], [-0.24489349277569483, -1.404133840193668], [0.7180935994465376, -3.0653188451973126], [-0.19274303490673916, -4.860567127523096], [-0.9506111263369568, -5.496087293086663], [-1.0810521607404682, -5.502239382429372], [-0.9787314965863613, -6.266951090202591], [-1.6138759385901313, -6.4353742550518955], [-0.48419092757180915, -6.342363253110281], [0.1414668706836091, -7.621852253582456], [1.3142648337009755, -6.944777709221288], [0.6802655756651121, -6.73710709516966], [1.4056309781565361, -7.174260014205684], [0.7414000207707506, -5.703946372885665], [0.4596383851038927, -6.268368623187675], [1.5199252024265868, -6.418782753106526], [1.3975995424437784, -7.29726192544333], [0.785041254579864, -7.450417555723223], [1.040440357425556, -7.726232064333243], [1.944136732462438, -7.781351974651222], [1.9610889342644984, -7.401921688988785], [1.9376028556551248, -7.50576115318284]]"
5,0,[],529567.3084791553,"[0, 41, 30.3395046304676, 14.810818654968234, 25, 61.322434468897505, -11.880448281183204]",0.0019469261169433594,"[[0, 0], [0.5646606892934003, 0.0], [2.2912985331647073, 0.911378906287473], [5.535542832226241, -0.08452352203975191], [2.1028222495306834, -1.3147001431885552], [1.300719902213199, -4.831715820931393], [-2.097980140128523, -6.636896997899352], [0.506432339912039, -4.299819053749199], [2.6680415207933605, -2.8767439890238298], [4.705623060261955, -2.511983484087954], [2.9708388831774957, -2.327297225087126], [2.9121195517592353, -4.478047617165204], [5.314896928407293, -2.8557838871628656], [7.151899946245604, -1.3561030161422083], [6.294720712954169, -0.08743214862104409], [6.104926805580229, -0.5467858514482195], [5.562067138068289, -0.5317599030306727], [6.903536486093207, -1.1700634672511545], [6.192043177209788, -0.14592592060675524], [6.398290824447541, -0.5903824697857664], [6.355972802657493, -0.9800018501154992], [7.1201875862778365, 0.9192938297598198], [4.61928930981037, -1.4081246683538224], [1.2011823599759528, -4.964131937793866], [4.004485616229547, -9.684996719569932], [4.454256881336516, -4.792208007692729]]"
6,0,[],637707.8489306218,"[0, 20, 24.179431746571844, 9.688180369337127, 23, 88.34813311908209, -43.705082467634355]",0.002054929733276367,"[[0, 0], [0.47263801022450247, 0.0], [-0.07167026776628149, -0.3943042841236758], [-0.9034405333281657, -0.8073286266759692], [-1.4794429076672944, -1.219055211753628], [-2.0730064268574737, -1.8612141331527812], [-3.469857886567217, 0.23498082937825815], [-5.88546147631471, -1.1402803485717306], [-3.515132424818972, -1.2930627135481327], [-4.177323562012283, -3.9105032119653242], [-0.7598344862671864, -4.99707287184299], [-4.214435582873841, -4.7124020129939295], [-7.608113043025882, -3.6472232163279967], [-4.319955891690168, -0.7968089980121592], [-1.3344091536137248, 2.7095184858301837], [3.785844264509966, 4.711725068093791], [1.2400788900053274, -0.6067721206823682], [6.302173155556028, -0.20417436334516492], [10.826341084307176, 0.23639084922978168], [16.148323657917743, -0.15732125702233563], [18.629093900014134, -6.079139742856978], [18.46937148256835, -13.082189266908586], [22.529268371815814, -6.967647286029267], [22.020726249634308, 0.648369363491639]]"
7,0,[],179678.88021437704,"[0, 0, 28.991596254781776, 10.421760132498374, 19, 15.742835184711272, -17.907900381531952]",0.002144336700439453,"[[0, 0], [-0.7191913174730391, 0.0], [-1.386363709502015, -2.054815418049822], [-2.8619791167468995, 0.21306071976892274], [-1.2484657665646166, 1.0012703254328363], [-1.3236072448075888, 1.133089630006965], [-1.2830358732677483, 1.1632995424557888], [-1.092570955948296, 0.9224102877631399], [-2.5984981779290193, 1.066413068316095], [-3.388951820712877, 1.0787527951123395], [-3.442350292391737, 1.1967306775642288], [-3.552002320143423, 0.9250806034911456], [-3.5101712076340497, 0.9591036921828265], [-2.3108526171605064, 0.9014517764446975], [-3.7553823856764152, 0.32418103408977395], [-3.972898519336272, -0.44435984337601697], [-4.272334706042626, -0.6278822047847001], [-4.883272784408062, -0.4214346779829694], [-4.9493075856667925, -0.4263533373866569], [-5.21248459478679, -0.7979511533089563]]"
8,0,[],201991.83016037178,"[0, 0, 9.880540355386996, 4.526581531650182, 9, 21.653218877848897, -20.173610572262355]",0.0021872520446777344,"[[0, 0], [-0.8383792073403795, 0.0], [-1.8894219457926422, 0.7417720107695698], [-1.0031082487661007, 1.389288337122121], [-0.0905811650894669, 3.4651693613403243], [2.8067760765116065, 1.697288514912628], [3.9570309459241284, 4.49816759416655], [3.86362017326601, 1.5403671090586326], [7.300985038948331, 2.2700552321659884], [9.743291933104986, 0.09876621326969481]]"
9,0,[],219665.43423326983,"[0, 10, 16.623791705164813, 7.753503397746371, 15, 20.161159434029948, -11.925150012280668]",0.002259492874145508,"[[0, 0], [0.8145531124131904, 0.0], [-0.7341246754189503, -0.36815764147004326], [-0.6754119319292604, 1.1145755554486199], [0.31311569144367013, 1.7297499609658569], [0.2506774896072094, 1.4308068460836671], [0.38397068007762636, 1.4750183450606464], [0.8358247330627586, 2.19496378557787], [0.5895752889981447, 1.2840089899126172], [0.38102238804361005, 1.1287780680438972], [0.45126479290112825, 0.8620670802098476], [0.8151352509897514, 0.8543765485573176], [2.200691651023198, 0.392502047454539], [2.417706703888633, -2.496350974866641], [-0.6966335707665178, -4.6258050283277345], [1.6821504326535948, -7.636553611273195]]"
