id,generation,parents,fitness,fitness_trace,birth_time,route
0,0,[],34477.40065431966,"[27.05269352750983, 0, 13.65346391461961, 4.536161634008497, 10, 44.359006099171296]",0.0006647109985351562,"[[0, 0], [0.5859511991365716, 0.0], [0.031260399968187885, 1.614994934722585], [-2.6739111043776975, 2.641693144709696], [1.6809583579026106, 2.197899998013002], [6.476156192551112, -1.010967713016736], [7.1626414562281, 5.089530701664249], [11.357397965021025, 8.571841617435892], [15.921141092690238, 11.252960628212008], [15.117189340354253, 5.114054829911707], [20.49608324822497, 7.656692741711402]]"
1,0,[],20363.95595270612,"[13.58006899509447, 0, 12.332905814549036, 4.999354544907433, 10, 17.49859584638988]",0.0007257461547851562,"[[0, 0], [-0.4078466985713145, 0.0], [-1.884617471802335, 0.7601420880222527], [-0.18623146692508363, 0.2358965859124369], [0.34819547812779017, 0.6464652098103009], [0.44547806885047275, 0.5992702864497595], [1.1603293124144876, 1.0036911889835731], [0.954864903319338, -1.0230548615439101], [-1.9435410853539352, -2.025187110091619], [0.24972487991219483, 0.7755306198419893], [2.4415026010020653, 3.358792571217889]]"
2,0,[],60586.51117791232,"[5.474648805154639, 5, 8.992622497888906, 4.914645414607726, 10, 24.086582352448794]",0.0007739067077636719,"[[0, 0], [-0.48276928618366144, 0.0], [-0.9923317990138381, -1.2846728264993306], [-2.373097671415169, -2.4688187617201574], [-2.71383251146963, -0.9281388868823073], [-4.072658871568922, -2.2951633091069845], [-1.1905187937148598, -1.9443846333992], [0.6311370863070591, -4.671361802861278], [-0.9711162362455129, -8.322997542850585], [-4.219852137765025, -10.296918457967081], [-4.431416975804835, -13.214704205106568]]"
3,0,[],43286.46187369301,"[3.227542830901183, 3, 19.25502102730934, 3.040638629023651, 10, 27.344666234795266]",0.0008215904235839844,"[[0, 0], [-0.43111829047831685, 0.0], [-1.6931799828641774, -0.12971687585494604], [-3.6662249757399916, -1.7549565983946933], [-7.305335756478853, -0.15654794456735177], [-9.793545023077547, -2.6765751641378794], [-11.381144263838788, -2.363766243592016], [-12.87239232982564, -2.853540036081737], [-10.74514553631034, -5.173204390369913], [-7.952028204502039, -8.379878835696939], [-3.227396923950087, -9.969310904556503]]"
4,0,[],117187.41770688466,"[8.738218322686826, 10, 15.45416899742695, 5.581108677306563, 10, 64.00401775370364]",0.0008728504180908203,"[[0, 0], [-0.6528863777375078, 0.0], [0.30106050662414646, -1.6677846863072379], [-2.469718396369482, -3.377079088497392], [-6.375555948058164, -0.36128613032284695], [-11.194032402449547, -4.950904817470985], [-4.148371449267124, -0.666579209820205], [-13.038863828741603, 2.1402934775332216], [-9.92068020963389, -6.972497365970792], [-0.0844763264352072, -6.252021818192696], [8.736703113459944, -9.83727888213547]]"
5,0,[],21755.756217994145,"[12.104339898610073, 0, 18.512096769653393, 2.6343221162371275, 10, 31.935722933664536]",0.0009248256683349609,"[[0, 0], [0.9262176774243118, 0.0], [2.6268728591296346, -0.6011447238385407], [3.9021518542895857, -1.3795447280925348], [5.301531088804413, -0.38654943895106203], [6.819539630085215, 2.2490836200576068], [8.905810476426323, 4.993121236290461], [9.620254225816527, 7.821062467720238], [12.507198294563354, 10.122191043035135], [7.502355681678713, 7.841763225495674], [3.5978503614209973, 1.5572711812913065]]"
6,0,[],16478.94325674325,"[9.451637216525365, 0, 12.861285317394017, 4.8240734158263745, 10, 14.256039938237198]",0.0009784698486328125,"[[0, 0], [-0.6862059776351672, 0.0], [-0.2392972968791537, 0.412173439341627], [0.043315510842601435, 0.27098594039848184], [-0.4369930406965912, -0.26877091487509325], [-0.5456992900690898, -0.06997471672069566], [-0.8121410570918869, -1.0392649864756704], [-1.3102341493776748, -2.0769766498532425], [0.46409612048830906, -1.0006814906502162], [3.614059662313812, -1.4718668555080343], [7.174751401141503, -3.8472454620206578]]"
7,0,[],113404.43001229902,"[4.748267104199885, 10, 15.900699470850727, 5.75579699903754, 10, 30.233472770027007]",0.0010402202606201172,"[[0, 0], [-0.7873065017683991, 0.0], [-2.8232837203951315, -0.8410776682032649], [-3.11599028881362, -3.9525077928960908], [-5.834873349690535, -3.8098211177930357], [-4.414501255234622, -6.204107775904988], [-7.471764220808436, -7.461083494672029], [-6.728675177496738, -5.026530256090956], [-3.806262185803666, -4.7108024652926], [-3.0652667015212716, -0.4257704163243558], [-2.2965861820874585, -5.844072618407329]]"
8,0,[],12909.12699142911,"[8.588750694781902, 0, 7.425483969052694, 4.9683832445290586, 10, 10.795987667955186]",0.001108407974243164,"[[0, 0], [0.27826776079777815, 0.0], [0.25446039325299613, 0.011530438262520232], [0.23276015284931817, 0.8165669726420021], [0.15560458108774666, 1.3999446243462468], [0.03888637927401234, 1.6288457577673003], [0.05002208801047511, 1.739297420071829], [0.5414995274832208, 2.724184500514071], [2.6538902640188606, 1.5523766390558937], [0.2585327260768219, 0.348333263652484], [-1.4371356631111114, -1.53233919060696]]"
9,0,[],66579.74431392153,"[10.323181823781045, 5, 11.318283410474166, 4.721254947833819, 10, 25.29529012001369]",0.0011594295501708984,"[[0, 0], [0.44009324058402965, 0.0], [-0.7242376542953506, -0.6172786442637865], [-3.420667100403054, -0.11204071489563386], [-5.608854605964808, -2.9557110213603712], [-1.882675684867797, -4.042341398043751], [1.4659969472023255, -3.824218490567267], [0.6616694380918735, -1.7454225881866443], [2.0037492761061317, 0.3566663998804991], [4.601144629622581, 0.8899298305642869], [5.758172525662926, -1.4319470046256149]]"
