,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,4.87,828.87,3.0
1,10.0,10.36,666.13,4.0
2,20.0,17.93,498.19,6.0
3,30.0,17.93,498.19,6.0
4,40.0,61.02,60.0,7.0
5,50.0,61.02,60.0,7.0
6,60.0,61.02,60.0,7.0
