,Margin Birth Time,Real Birth Time,Fitness,Individual #
0,5.0,2.85,60339.35,5.0
1,10.0,13.24,47762.62,6.0
2,20.0,21.49,27712.06,7.0
3,30.0,29.05,3770.78,12.0
4,40.0,40.97,3631.93,15.0
5,50.0,40.97,3631.93,15.0
6,60.0,62.15,3542.38,16.0
